County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_18_and_under_percentage
Androscoggin County,Maine,78.1842984521673,23,001,9.6
Aroostook County,Maine,78.2560033618802,23,003,8.4
Cumberland County,Maine,80.3403646443649,23,005,9.4
Franklin County,Maine,78.8506776425987,23,007,10.9
Hancock County,Maine,79.820469024193,23,009,9.0
Kennebec County,Maine,78.2237038893335,23,011,9.3
Knox County,Maine,79.8473568145173,23,013,7.2
Lincoln County,Maine,79.9017389737899,23,015,7.0
Oxford County,Maine,78.5309010830284,23,017,7.7
Penobscot County,Maine,78.1517229087586,23,019,13.6
Piscataquis County,Maine,77.5796730368878,23,021,5.7
Sagadahoc County,Maine,79.8852031720495,23,023,7.3
Somerset County,Maine,77.528264458289,23,025,7.2
Waldo County,Maine,79.1724741637303,23,027,8.0
Washington County,Maine,76.8377181217335,23,029,7.9
York County,Maine,79.8968073085678,23,031,7.9
Allegany County,Maryland,77.0487566157738,24,001,13.0
Anne Arundel County,Maryland,79.2871642564569,24,003,10.2
Baltimore County,Maryland,79.2176292455908,24,005,10.5
Calvert County,Maryland,79.3827223650511,24,009,8.7
Caroline County,Maryland,76.4840893776457,24,011,9.6
Carroll County,Maryland,79.2321387509423,24,013,9.1
Cecil County,Maryland,76.9108682521156,24,015,9.4
Charles County,Maryland,78.7952554548972,24,017,9.4
Dorchester County,Maryland,77.125653242824,24,019,7.9
Frederick County,Maryland,80.531514585771,24,021,8.8
Garrett County,Maryland,78.4737102727222,24,023,8.9
Harford County,Maryland,79.3961099592958,24,025,8.9
Howard County,Maryland,82.8808786285906,24,027,8.1
Kent County,Maryland,78.6604788890004,24,029,13.7
Queen Anne's County,Maryland,79.985899797704,24,035,8.0
Saint Mary's County,Maryland,79.1319372903399,24,037,10.1
Somerset County,Maryland,76.7214694301924,24,039,17.7
Talbot County,Maryland,80.6233269665543,24,041,7.3
Washington County,Maryland,77.7114314716787,24,043,9.1
Wicomico County,Maryland,77.3742276725038,24,045,14.7
Worcester County,Maryland,79.2002417945762,24,047,7.5
Baltimore City,Maryland,73.022692462196,24,510,12.4
Montgomery County,Maryland,81.6252330735589,24,031,8.2
Prince George's County,Maryland,81.6252330735589,24,033,12.6
Barnstable County,Massachusetts,80.3109462604848,25,001,7.9
Berkshire County,Massachusetts,79.715602635032,25,003,10.0
Bristol County,Massachusetts,79.1377904863585,25,005,10.0
Dukes County,Massachusetts,81.8144082578357,25,007,6.8
Essex County,Massachusetts,80.7765369203971,25,009,9.3
Franklin County,Massachusetts,80.2427466227882,25,011,8.7
Hampden County,Massachusetts,79.0712156911874,25,013,11.2
Hampshire County,Massachusetts,81.0300744913248,25,015,20.7
Middlesex County,Massachusetts,81.915128298657,25,017,9.9
Nantucket County,Massachusetts,81.9238925226739,25,019,6.1
Norfolk County,Massachusetts,81.5138873266831,25,021,8.2
Plymouth County,Massachusetts,79.7597367341905,25,023,8.6
Suffolk County,Massachusetts,80.1892045594936,25,025,17.2
Worcester County,Massachusetts,79.7004602334102,25,027,10.1
Alcona County,Michigan,77.3200714519536,26,001,4.9
Alger County,Michigan,79.1341673499468,26,003,8.1
Allegan County,Michigan,78.9814434610213,26,005,7.8
Alpena County,Michigan,77.8955208937841,26,007,8.0
Antrim County,Michigan,79.7367060541708,26,009,6.3
Arenac County,Michigan,76.76195238314,26,011,7.3
Baraga County,Michigan,77.5639208659543,26,013,7.6
Barry County,Michigan,79.4209650636532,26,015,7.9
Bay County,Michigan,78.032443690154,26,017,8.8
Benzie County,Michigan,79.2329084027723,26,019,6.3
Berrien County,Michigan,77.7252448950512,26,021,8.7
Branch County,Michigan,77.4801829325226,26,023,8.7
Calhoun County,Michigan,76.5322318783678,26,025,9.6
Cass County,Michigan,78.1371449888996,26,027,8.3
Charlevoix County,Michigan,79.7190832097469,26,029,7.1
Cheboygan County,Michigan,78.6341640257572,26,031,6.9
Chippewa County,Michigan,78.9529665558742,26,033,11.3
Clare County,Michigan,75.8959225538629,26,035,7.7
Clinton County,Michigan,80.6916486007841,26,037,10.5
Crawford County,Michigan,77.3270020979226,26,039,6.9
Delta County,Michigan,79.1752547598237,26,041,7.9
Dickinson County,Michigan,79.2111008652324,26,043,7.2
Eaton County,Michigan,79.3936828881989,26,045,9.5
Emmet County,Michigan,80.0483708166782,26,047,7.8
Genesee County,Michigan,75.9722532882769,26,049,9.2
Gladwin County,Michigan,77.3671124296942,26,051,7.2
Gogebic County,Michigan,78.4467834531813,26,053,8.9
Grand Traverse County,Michigan,80.1803904562589,26,055,8.6
Gratiot County,Michigan,78.1257972976973,26,057,12.0
Hillsdale County,Michigan,78.1662448640227,26,059,9.8
Houghton County,Michigan,78.6754812044656,26,061,25.8
Huron County,Michigan,77.8697153839942,26,063,7.0
Ingham County,Michigan,78.6749657844665,26,065,19.8
Ionia County,Michigan,78.4625139372153,26,067,10.3
Iosco County,Michigan,76.3492544744244,26,069,7.2
Iron County,Michigan,78.7992222892943,26,071,5.9
Isabella County,Michigan,78.8983644565994,26,073,30.8
Jackson County,Michigan,77.4532006415073,26,075,9.4
Kalamazoo County,Michigan,79.0136971811445,26,077,16.2
Kalkaska County,Michigan,77.1674099385385,26,079,7.0
Kent County,Michigan,79.9340664470675,26,081,10.6
Keweenaw County,Michigan,80.2334340215465,26,083,5.7
Lake County,Michigan,76.9080933987413,26,085,6.8
Lapeer County,Michigan,78.2272710453318,26,087,8.4
Leelanau County,Michigan,82.6492521802861,26,089,6.6
Lenawee County,Michigan,78.4723248404635,26,091,10.4
Livingston County,Michigan,80.1032354016528,26,093,7.6
Luce County,Michigan,78.2943124197965,26,095,7.2
Mackinac County,Michigan,78.3614919586774,26,097,6.3
Macomb County,Michigan,78.2511703766645,26,099,8.7
Manistee County,Michigan,78.3557326533922,26,101,9.6
Marquette County,Michigan,79.0648462653281,26,103,14.6
Mason County,Michigan,78.4012202129041,26,105,7.5
Mecosta County,Michigan,79.0432161301943,26,107,22.1
Menominee County,Michigan,79.4912248159917,26,109,6.6
Midland County,Michigan,80.4787488364551,26,111,10.0
Missaukee County,Michigan,78.2919441070995,26,113,7.5
Monroe County,Michigan,78.0258829236666,26,115,8.9
Montcalm County,Michigan,77.9685418214469,26,117,9.5
Montmorency County,Michigan,76.7030769460677,26,119,6.3
Muskegon County,Michigan,77.4875698556908,26,121,9.4
Newaygo County,Michigan,77.8238237623798,26,123,8.3
Oakland County,Michigan,79.9169290468279,26,125,8.1
Oceana County,Michigan,78.5846122917076,26,127,7.8
Ogemaw County,Michigan,76.0296619740247,26,129,7.0
Ontonagon County,Michigan,77.8084326885157,26,131,4.4
Osceola County,Michigan,78.0971492652105,26,133,8.1
Oscoda County,Michigan,76.3314868341069,26,135,6.6
Otsego County,Michigan,78.3487963557908,26,137,7.6
Ottawa County,Michigan,81.7328937974963,26,139,12.2
Presque Isle County,Michigan,78.9981468773847,26,141,5.8
Roscommon County,Michigan,76.5459144563448,26,143,6.1
Saginaw County,Michigan,77.5629423926993,26,145,10.8
Saint Clair County,Michigan,77.1882812201119,26,147,8.5
Saint Joseph County,Michigan,77.1310280433899,26,149,8.7
Sanilac County,Michigan,77.8237760315653,26,151,7.8
Schoolcraft County,Michigan,78.4293397141196,26,153,6.8
Shiawassee County,Michigan,77.4482013621374,26,155,8.8
Tuscola County,Michigan,77.9097295479583,26,157,8.4
Van Buren County,Michigan,77.4972892959101,26,159,8.6
Washtenaw County,Michigan,80.9470764239408,26,161,17.8
Wayne County,Michigan,75.4714079736494,26,163,10.1
Wexford County,Michigan,77.3709776912993,26,165,7.8
Aitkin County,Minnesota,79.5257601624011,27,001,5.2
Anoka County,Minnesota,81.260322853314,27,003,8.5
Becker County,Minnesota,78.571641975079,27,005,6.9
Beltrami County,Minnesota,77.9314896784086,27,007,14.7
Benton County,Minnesota,79.3689189690222,27,009,10.6
Big Stone County,Minnesota,79.8163138526567,27,011,6.3
Blue Earth County,Minnesota,80.7795525911223,27,013,23.0
Brown County,Minnesota,81.0460837073629,27,015,10.1
Carlton County,Minnesota,78.1351059358168,27,017,7.8
Carver County,Minnesota,82.78865007949,27,019,7.1
Cass County,Minnesota,78.2203340520593,27,021,6.7
Chippewa County,Minnesota,80.2393666821223,27,023,7.2
Chisago County,Minnesota,80.3222535338392,27,025,8.2
Clay County,Minnesota,80.0896576258039,27,027,15.8
Clearwater County,Minnesota,77.8398513676178,27,029,7.3
Cook County,Minnesota,82.3289064679463,27,031,6.5
Cottonwood County,Minnesota,80.6529713502364,27,033,7.2
Crow Wing County,Minnesota,79.9422269025692,27,035,7.6
Dakota County,Minnesota,81.8762973525063,27,037,8.2
Dodge County,Minnesota,81.486974833457,27,039,7.6
Douglas County,Minnesota,81.0177973796715,27,041,9.3
Faribault County,Minnesota,79.8456344802581,27,043,7.5
Fillmore County,Minnesota,81.021829922699,27,045,7.3
Freeborn County,Minnesota,80.4656487369124,27,047,8.2
Goodhue County,Minnesota,80.2697108228203,27,049,7.7
Grant County,Minnesota,80.0978147805849,27,051,7.2
Hennepin County,Minnesota,81.0413823527452,27,053,9.9
Houston County,Minnesota,81.7495452558789,27,055,7.2
Hubbard County,Minnesota,80.5275888253495,27,057,6.3
Isanti County,Minnesota,80.0075934244464,27,059,8.3
Itasca County,Minnesota,78.7041206314267,27,061,7.8
Jackson County,Minnesota,81.6403726617446,27,063,7.6
Kanabec County,Minnesota,79.6373892694091,27,065,7.1
Kandiyohi County,Minnesota,81.2263461321838,27,067,10.2
Kittson County,Minnesota,78.6808904605635,27,069,6.8
Koochiching County,Minnesota,78.9373655470938,27,071,7.3
Lac qui Parle County,Minnesota,81.5315963787476,27,073,5.9
Lake County,Minnesota,79.1958999539585,27,075,6.2
Lake of the Woods County,Minnesota,78.8908268836926,27,077,6.2
Le Sueur County,Minnesota,81.2420864527514,27,079,6.7
Lincoln County,Minnesota,80.4048795545261,27,081,6.8
Lyon County,Minnesota,80.8029804687747,27,083,12.4
McLeod County,Minnesota,81.1614803230809,27,085,8.0
Mahnomen County,Minnesota,76.1101690777522,27,087,7.2
Marshall County,Minnesota,82.0483258785891,27,089,6.9
Martin County,Minnesota,80.5739987635899,27,091,6.8
Meeker County,Minnesota,80.4788013656933,27,093,7.6
Mille Lacs County,Minnesota,77.8595610600473,27,095,7.6
Morrison County,Minnesota,79.9915395417978,27,097,7.8
Mower County,Minnesota,81.2715124876901,27,099,9.2
Murray County,Minnesota,81.382392825127,27,101,6.3
Nicollet County,Minnesota,82.1580856960579,27,103,14.8
Nobles County,Minnesota,81.6726187977796,27,105,10.0
Norman County,Minnesota,77.7788356975309,27,107,6.6
Olmsted County,Minnesota,82.3024897935114,27,109,7.6
Otter Tail County,Minnesota,80.4142228406986,27,111,7.2
Pennington County,Minnesota,79.4154634439417,27,113,9.5
Pine County,Minnesota,79.222640857835,27,115,7.4
Pipestone County,Minnesota,80.1039446177083,27,117,6.7
Polk County,Minnesota,78.4695752496241,27,119,11.5
Pope County,Minnesota,80.6946465756057,27,121,6.6
Ramsey County,Minnesota,80.0792552292463,27,123,12.0
Red Lake County,Minnesota,79.7889118348854,27,125,7.0
Redwood County,Minnesota,79.6806577688843,27,127,7.5
Renville County,Minnesota,79.3314693090908,27,129,7.4
Rice County,Minnesota,81.1098844533205,27,131,15.6
Rock County,Minnesota,79.3424045548983,27,133,6.7
Roseau County,Minnesota,79.8284695523272,27,135,7.0
Saint Louis County,Minnesota,78.8490287519056,27,137,13.4
Scott County,Minnesota,82.0370365912329,27,139,7.2
Sherburne County,Minnesota,80.6808866038818,27,141,9.0
Sibley County,Minnesota,80.8509109781453,27,143,6.8
Stearns County,Minnesota,82.27207897466,27,145,16.1
Steele County,Minnesota,81.8891332022835,27,147,7.8
Stevens County,Minnesota,82.2366166407376,27,149,19.0
Swift County,Minnesota,80.7137438287276,27,151,7.9
Todd County,Minnesota,81.1101916907096,27,153,8.2
Traverse County,Minnesota,79.9434785030658,27,155,6.3
Wabasha County,Minnesota,82.0800079677359,27,157,7.2
Wadena County,Minnesota,77.4615053862115,27,159,8.3
Waseca County,Minnesota,81.3059682117472,27,161,7.6
Washington County,Minnesota,81.8731876580296,27,163,7.8
Watonwan County,Minnesota,80.7417909236698,27,165,8.1
Wilkin County,Minnesota,78.5589818554734,27,167,6.8
Winona County,Minnesota,80.9701700214367,27,169,20.3
Wright County,Minnesota,81.2238327593397,27,171,6.8
Yellow Medicine County,Minnesota,80.608228098237,27,173,8.4
Adams County,Mississippi,73.6887819471518,28,001,8.3
Alcorn County,Mississippi,74.1770169943801,28,003,8.7
Amite County,Mississippi,75.7671568560878,28,005,9.8
Attala County,Mississippi,73.6970518549664,28,007,9.3
Benton County,Mississippi,74.2721611690606,28,009,10.9
Bolivar County,Mississippi,71.4480958013831,28,011,12.8
Calhoun County,Mississippi,74.5950266583851,28,013,8.7
Carroll County,Mississippi,76.5957971056056,28,015,7.4
Chickasaw County,Mississippi,75.1672991225294,28,017,8.8
Choctaw County,Mississippi,75.8165812564615,28,019,8.7
Claiborne County,Mississippi,72.8641335548973,28,021,11.9
Clarke County,Mississippi,74.2164590839486,28,023,7.7
Clay County,Mississippi,75.3639087303309,28,025,9.8
Coahoma County,Mississippi,71.241667822733,28,027,12.3
Copiah County,Mississippi,74.254742782245,28,029,11.9
Covington County,Mississippi,72.9547004879609,28,031,9.1
DeSoto County,Mississippi,76.9841230161663,28,033,8.5
Forrest County,Mississippi,74.2716729858956,28,035,15.8
Franklin County,Mississippi,74.794345422362,28,037,8.1
George County,Mississippi,72.9297852520777,28,039,9.6
Greene County,Mississippi,74.9097245730102,28,041,10.5
Grenada County,Mississippi,71.801058662526,28,043,10.5
Hancock County,Mississippi,76.598868963144,28,045,8.6
Harrison County,Mississippi,75.0428352096502,28,047,11.6
Hinds County,Mississippi,75.362385819334,28,049,12.2
Holmes County,Mississippi,71.9232683298895,28,051,13.5
Humphreys County,Mississippi,72.0675561111665,28,053,10.4
Issaquena County,Mississippi,74.5426672391706,28,055,9.4
Itawamba County,Mississippi,74.3044966571555,28,057,11.3
Jackson County,Mississippi,75.7582236528168,28,059,9.5
Jasper County,Mississippi,74.8617206278972,28,061,8.7
Jefferson County,Mississippi,74.1052753753111,28,063,12.6
Jefferson Davis County,Mississippi,73.4801352356967,28,065,8.9
Jones County,Mississippi,74.8492837172287,28,067,10.1
Kemper County,Mississippi,76.6139178601463,28,069,10.3
Lafayette County,Mississippi,76.8839193758677,28,071,26.4
Lamar County,Mississippi,78.2012330825903,28,073,11.2
Lauderdale County,Mississippi,74.5680905619107,28,075,10.3
Lawrence County,Mississippi,73.3946616044835,28,077,9.1
Leake County,Mississippi,73.7737758037004,28,079,10.5
Lee County,Mississippi,74.4914075220446,28,081,8.9
Leflore County,Mississippi,72.304525691433,28,083,12.4
Lincoln County,Mississippi,73.9173782424879,28,085,8.6
Lowndes County,Mississippi,75.6798221159382,28,087,10.8
Madison County,Mississippi,75.0658421656971,28,089,8.8
Marion County,Mississippi,72.3672129789502,28,091,9.2
Marshall County,Mississippi,73.6839495784972,28,093,9.9
Monroe County,Mississippi,75.3896987999572,28,095,9.0
Montgomery County,Mississippi,73.2235557899674,28,097,11.7
Neshoba County,Mississippi,72.4680532068538,28,099,8.7
Newton County,Mississippi,74.0038911339712,28,101,9.6
Noxubee County,Mississippi,74.8873666635809,28,103,10.5
Oktibbeha County,Mississippi,77.884352619943,28,105,32.9
Panola County,Mississippi,73.0636638021437,28,107,9.5
Pearl River County,Mississippi,74.1966864806776,28,109,9.2
Perry County,Mississippi,73.969393935945,28,111,8.3
Pike County,Mississippi,72.9279106734417,28,113,9.4
Pontotoc County,Mississippi,76.5523869166335,28,115,10.0
Prentiss County,Mississippi,75.0938764841629,28,117,11.3
Quitman County,Mississippi,71.2682035101836,28,119,11.1
Rankin County,Mississippi,78.3923354580783,28,121,8.3
Scott County,Mississippi,74.2350540836512,28,123,10.3
Sharkey County,Mississippi,73.146218541574,28,125,11.0
Simpson County,Mississippi,74.091609255834,28,127,9.3
Smith County,Mississippi,75.0755200065712,28,129,8.2
Stone County,Mississippi,74.1102201641438,28,131,12.4
Sunflower County,Mississippi,71.3201905399104,28,133,12.8
Tallahatchie County,Mississippi,73.5523062826213,28,135,14.8
Tate County,Mississippi,75.0712870252361,28,137,11.6
Tippah County,Mississippi,73.6305178123761,28,139,9.5
Tishomingo County,Mississippi,73.3618354447481,28,141,8.7
Tunica County,Mississippi,71.4614225899225,28,143,9.6
Union County,Mississippi,76.1809662402221,28,145,8.8
Walthall County,Mississippi,74.1005243287793,28,147,8.8
Warren County,Mississippi,74.3112233852951,28,149,8.5
Washington County,Mississippi,71.6376808123338,28,151,10.2
Wayne County,Mississippi,74.571734755432,28,153,9.8
Webster County,Mississippi,73.4398006781518,28,155,8.5
Wilkinson County,Mississippi,72.4918130848483,28,157,10.9
Winston County,Mississippi,74.9097860616485,28,159,10.3
Yalobusha County,Mississippi,73.0263237411266,28,161,9.5
Yazoo County,Mississippi,73.6661031312889,28,163,8.2
Adair County,Missouri,77.8202009710449,29,001,24.1
Andrew County,Missouri,78.8942198496664,29,003,8.2
Atchison County,Missouri,77.9463481376181,29,005,7.5
Audrain County,Missouri,76.9674963047955,29,007,7.4
Barry County,Missouri,75.9967671646569,29,009,7.7
Barton County,Missouri,77.3720948220371,29,011,7.1
Bates County,Missouri,76.2341305391455,29,013,7.5
Benton County,Missouri,76.1539247847998,29,015,6.7
Bollinger County,Missouri,76.6555888183435,29,017,8.2
Boone County,Missouri,80.150735224181,29,019,20.8
Buchanan County,Missouri,76.2863393493383,29,021,11.4
Butler County,Missouri,73.9277527012454,29,023,8.2
Caldwell County,Missouri,76.9590391052894,29,025,7.3
Callaway County,Missouri,77.8257751986466,29,027,11.4
Camden County,Missouri,79.0987130168409,29,029,6.6
Cape Girardeau County,Missouri,78.1133440329691,29,031,13.5
Carroll County,Missouri,76.9009915910591,29,033,7.8
Carter County,Missouri,73.923959108306,29,035,7.8
Cass County,Missouri,78.2929211008241,29,037,8.2
Cedar County,Missouri,75.9562542902049,29,039,6.7
Chariton County,Missouri,78.4187970946659,29,041,7.1
Christian County,Missouri,79.3627871876897,29,043,7.6
Clark County,Missouri,77.0405441134654,29,045,7.8
Clay County,Missouri,79.2560446185256,29,047,8.4
Clinton County,Missouri,76.5026058852434,29,049,7.9
Cole County,Missouri,78.9126119830295,29,051,8.9
Cooper County,Missouri,77.674850621175,29,053,13.5
Crawford County,Missouri,75.8516557988888,29,055,7.8
Dade County,Missouri,76.5910009477093,29,057,6.4
Dallas County,Missouri,76.8649791911927,29,059,7.6
Daviess County,Missouri,77.3108621369672,29,061,7.2
DeKalb County,Missouri,77.7510156011821,29,063,8.8
Dent County,Missouri,75.9731840503418,29,065,8.4
Douglas County,Missouri,76.9924728618042,29,067,7.7
Dunklin County,Missouri,72.1824771198109,29,069,7.7
Franklin County,Missouri,77.0222983379519,29,071,8.7
Gasconade County,Missouri,77.0749297543685,29,073,7.4
Gentry County,Missouri,77.7995567008037,29,075,8.3
Greene County,Missouri,77.872626738145,29,077,13.8
Grundy County,Missouri,77.2515417704075,29,079,9.3
Harrison County,Missouri,77.5130002914138,29,081,7.1
Henry County,Missouri,75.7034684721707,29,083,7.2
Hickory County,Missouri,77.113889480288,29,085,5.6
Holt County,Missouri,79.0077230505634,29,087,7.9
Howard County,Missouri,78.3150239409584,29,089,14.5
Howell County,Missouri,75.3878376216904,29,091,8.9
Iron County,Missouri,73.5293163846534,29,093,8.0
Jackson County,Missouri,76.9233247635548,29,095,9.4
Jasper County,Missouri,76.0418425884253,29,097,10.6
Jefferson County,Missouri,76.4558554806763,29,099,8.6
Johnson County,Missouri,78.0235716916098,29,101,20.9
Knox County,Missouri,77.0634269108704,29,103,7.2
Laclede County,Missouri,76.0707424811822,29,105,8.5
Lafayette County,Missouri,77.3224636066542,29,107,8.4
Lawrence County,Missouri,76.3281782627809,29,109,8.1
Lewis County,Missouri,77.1682749004064,29,111,11.5
Lincoln County,Missouri,76.9381476732127,29,113,7.9
Linn County,Missouri,76.1533431762233,29,115,7.6
Livingston County,Missouri,77.2208792317718,29,117,9.2
McDonald County,Missouri,74.6923711045142,29,119,9.0
Macon County,Missouri,77.3166237914343,29,121,7.6
Madison County,Missouri,74.2415470845918,29,123,8.4
Maries County,Missouri,77.4919511331899,29,125,8.1
Marion County,Missouri,76.9657541086513,29,127,9.0
Mercer County,Missouri,78.2631362708184,29,129,6.7
Miller County,Missouri,76.6152368323339,29,131,8.4
Mississippi County,Missouri,73.338863726563,29,133,9.6
Moniteau County,Missouri,78.0130596341383,29,135,8.5
Monroe County,Missouri,78.7046889141938,29,137,7.2
Montgomery County,Missouri,76.1475671979084,29,139,7.2
Morgan County,Missouri,75.6836865368469,29,141,6.8
New Madrid County,Missouri,73.3750642175587,29,143,8.5
Newton County,Missouri,76.5041535537771,29,145,9.5
Nodaway County,Missouri,79.1776895355421,29,147,27.1
Oregon County,Missouri,75.3913176922009,29,149,7.5
Osage County,Missouri,78.8991357375873,29,151,11.0
Ozark County,Missouri,76.2211516031177,29,153,6.0
Pemiscot County,Missouri,71.8678826226139,29,155,8.7
Perry County,Missouri,78.3337700150768,29,157,8.7
Pettis County,Missouri,77.3752369051183,29,159,9.5
Phelps County,Missouri,76.8943584319916,29,161,22.3
Pike County,Missouri,76.8633191077903,29,163,10.3
Platte County,Missouri,80.5362300761242,29,165,8.4
Polk County,Missouri,76.4145698893006,29,167,11.6
Pulaski County,Missouri,76.4297567610334,29,169,29.2
Putnam County,Missouri,77.0629895898788,29,171,6.8
Ralls County,Missouri,79.0959311376881,29,173,6.8
Randolph County,Missouri,76.167072424973,29,175,9.7
Ray County,Missouri,76.38116204903,29,177,7.9
Reynolds County,Missouri,74.3804340343207,29,179,6.5
Ripley County,Missouri,73.6708336814887,29,181,7.7
Saint Charles County,Missouri,80.5670639778183,29,183,9.0
Saint Clair County,Missouri,76.3807797627454,29,185,7.1
Sainte Genevieve County,Missouri,78.0527645458685,29,186,8.2
Saint Francois County,Missouri,74.6536896311098,29,187,10.2
Saint Louis County,Missouri,79.0869187561601,29,189,9.1
Saline County,Missouri,77.3558776669603,29,195,13.1
Schuyler County,Missouri,77.4446289118319,29,197,9.0
Scotland County,Missouri,77.9463454780453,29,199,8.1
Scott County,Missouri,75.4359410085919,29,201,8.6
Shannon County,Missouri,76.184176530271,29,203,7.9
Shelby County,Missouri,77.4164083839455,29,205,6.5
Stoddard County,Missouri,75.6830292503775,29,207,9.2
Stone County,Missouri,78.1226706708056,29,209,6.3
Sullivan County,Missouri,76.6658127332764,29,211,8.5
Taney County,Missouri,77.5617226161872,29,213,9.3
Texas County,Missouri,76.8724314712732,29,215,9.2
Vernon County,Missouri,75.802969074519,29,217,7.9
Warren County,Missouri,78.5469831420477,29,219,7.7
Washington County,Missouri,73.9134677355961,29,221,8.1
Wayne County,Missouri,74.4300761061265,29,223,7.7
Webster County,Missouri,77.7716703031121,29,225,8.0
Worth County,Missouri,78.1751401478371,29,227,6.8
Wright County,Missouri,75.5562490791877,29,229,8.2
Saint Louis City,Missouri,74.445760508136,29,510,11.8
Beaverhead County,Montana,79.7744843919811,30,001,12.5
Big Horn County,Montana,72.5881503580977,30,003,10.5
Blaine County,Montana,75.1667762591202,30,005,8.9
Broadwater County,Montana,79.2167846838025,30,007,4.3
Carbon County,Montana,80.1866359094536,30,009,5.5
Carter County,Montana,79.0083703498409,30,011,6.6
Cascade County,Montana,78.2715974802858,30,013,10.8
Chouteau County,Montana,79.140200811216,30,015,8.2
Custer County,Montana,76.9666227444792,30,017,9.6
Daniels County,Montana,78.7505526247777,30,019,4.2
Dawson County,Montana,77.9066864479026,30,021,11.7
Deer Lodge County,Montana,76.7200932699065,30,023,11.4
Fallon County,Montana,78.2202348250767,30,025,6.9
Fergus County,Montana,78.1022170138206,30,027,6.1
Flathead County,Montana,79.0416834391333,30,029,7.7
Gallatin County,Montana,81.6493688020949,30,031,17.6
Garfield County,Montana,78.2413642596037,30,033,3.5
Glacier County,Montana,72.7597547105107,30,035,10.2
Granite County,Montana,81.4320576524709,30,039,5.1
Hill County,Montana,77.1394217342836,30,041,11.9
Jefferson County,Montana,78.7723610406567,30,043,5.8
Judith Basin County,Montana,80.9383651466995,30,045,2.4
Lake County,Montana,77.6767095459195,30,047,8.5
Lewis and Clark County,Montana,79.416294001992,30,049,8.9
Liberty County,Montana,82.0006443440525,30,051,7.4
Lincoln County,Montana,77.6564426581553,30,053,6.0
McCone County,Montana,78.6150124683238,30,055,4.1
Madison County,Montana,80.7785719259959,30,057,6.0
Meagher County,Montana,78.111128033177,30,059,5.6
Mineral County,Montana,77.0518150224422,30,061,6.0
Missoula County,Montana,79.6372148468738,30,063,15.3
Musselshell County,Montana,76.6978007100019,30,065,5.5
Phillips County,Montana,77.6141679123571,30,071,5.3
Pondera County,Montana,78.0698259375169,30,073,7.4
Powder River County,Montana,79.1843887875867,30,075,6.5
Powell County,Montana,77.0546432364766,30,077,9.1
Prairie County,Montana,77.3622484083608,30,079,6.4
Ravalli County,Montana,79.4742635422395,30,081,6.5
Richland County,Montana,77.2313312616492,30,083,7.9
Roosevelt County,Montana,69.6698839173254,30,085,10.9
Rosebud County,Montana,76.0432580404729,30,087,7.7
Sanders County,Montana,77.6586129331537,30,089,5.7
Sheridan County,Montana,76.9638202848793,30,091,6.9
Silver Bow County,Montana,76.2652883461825,30,093,11.7
Stillwater County,Montana,79.3994974367206,30,095,6.1
Sweet Grass County,Montana,80.9262617132709,30,097,4.8
Teton County,Montana,79.8967823396854,30,099,5.9
Toole County,Montana,77.8754898936966,30,101,8.8
Valley County,Montana,77.9411859023022,30,105,6.3
Wheatland County,Montana,78.6553070279714,30,107,9.6
Wibaux County,Montana,76.7133951514902,30,109,3.8
Yellowstone County,Montana,78.559591864415,30,111,8.9
Park County,Montana,79.7740310966237,30,067,6.0
Adams County,Nebraska,79.4740321918779,31,001,12.6
Antelope County,Nebraska,81.0109626540678,31,003,7.0
Boone County,Nebraska,80.8132559905404,31,011,7.2
Box Butte County,Nebraska,78.2927620573047,31,013,8.8
Boyd County,Nebraska,79.3271240017037,31,015,5.0
Brown County,Nebraska,80.4713264119429,31,017,8.5
Buffalo County,Nebraska,80.4937682109454,31,019,16.3
Burt County,Nebraska,78.6226772418851,31,021,5.9
Butler County,Nebraska,78.9221049091999,31,023,6.0
Cass County,Nebraska,78.8984038090397,31,025,7.2
Cedar County,Nebraska,80.9355902496889,31,027,7.6
Chase County,Nebraska,78.9833922597174,31,029,5.9
Cherry County,Nebraska,79.2636825704877,31,031,5.5
Cheyenne County,Nebraska,79.4206748633524,31,033,7.3
Clay County,Nebraska,78.9161958577152,31,035,8.2
Colfax County,Nebraska,80.7158552872499,31,037,10.5
Cuming County,Nebraska,81.2363742657461,31,039,7.0
Custer County,Nebraska,79.4909545243852,31,041,7.2
Dakota County,Nebraska,78.5342410584212,31,043,9.9
Dawes County,Nebraska,79.9466211150747,31,045,20.2
Dawson County,Nebraska,79.2844523553819,31,047,8.3
Deuel County,Nebraska,79.3966519703739,31,049,7.0
Dixon County,Nebraska,79.4154860923149,31,051,6.3
Dodge County,Nebraska,78.7107914529787,31,053,8.1
Douglas County,Nebraska,78.7448045847676,31,055,10.2
Dundy County,Nebraska,78.667198693482,31,057,4.2
Fillmore County,Nebraska,78.8719442430313,31,059,6.5
Franklin County,Nebraska,79.1683110724289,31,061,6.5
Frontier County,Nebraska,82.0021166676896,31,063,10.0
Furnas County,Nebraska,78.4902671721375,31,065,5.7
Gage County,Nebraska,78.6377449025606,31,067,7.9
Garden County,Nebraska,78.6217771456694,31,069,4.5
Garfield County,Nebraska,78.6375786788767,31,071,4.9
Gosper County,Nebraska,79.7306825968611,31,073,8.9
